mapFilename;taskFilename;step_size;row_size;col_size;num_bots;num_endpoints;last_step;num_tasks;token_id;token_name;current_step;energy system id;energy expenditure;finished_tasks;time(s);
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;40;342;2496;500;TP;TP[E_1(R_1)];2544;E_1(R_1);208573;500;0.204258;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;40;342;2496;500;TTP;TTP(0.8 : 0.8)[E_1(R_1)];2544;E_1(R_1);208188;500;0.207622;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;40;342;2496;500;BTT;BTT(0.8)[E_1(R_1)];2539;E_1(R_1);208238;522;0.227393;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;40;342;999;500;TP;TP[E_1(R_1)];1069;E_1(R_1);153612;500;0.271825;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;40;342;999;500;TTP;TTP(0.8 : 0.8)[E_1(R_1)];1089;E_1(R_1);154083;500;0.231076;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;40;342;999;500;BTT;BTT(0.8)[E_1(R_1)];1088;E_1(R_1);154529;566;0.263433;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-1.task;5000;21;35;40;342;500;500;TP;TP[E_1(R_1)];635;E_1(R_1);134904;500;0.214717;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-1.task;5000;21;35;40;342;500;500;TTP;TTP(0.8 : 0.8)[E_1(R_1)];593;E_1(R_1);132710;500;0.496822;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-1.task;5000;21;35;40;342;500;500;BTT;BTT(0.8)[E_1(R_1)];646;E_1(R_1);136867;614;0.241475;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-2.task;5000;21;35;40;342;250;500;TP;TP[E_1(R_1)];436;E_1(R_1);119063;500;0.163247;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-2.task;5000;21;35;40;342;250;500;TTP;TTP(0.8 : 0.8)[E_1(R_1)];423;E_1(R_1);112283;500;0.405566;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-2.task;5000;21;35;40;342;250;500;BTT;BTT(0.8)[E_1(R_1)];538;E_1(R_1);124359;656;0.293818;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-5.task;5000;21;35;40;342;100;500;TP;TP[E_1(R_1)];461;E_1(R_1);118924;500;0.263318;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-5.task;5000;21;35;40;342;100;500;TTP;TTP(0.8 : 0.8)[E_1(R_1)];381;E_1(R_1);108826;500;0.715903;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-5.task;5000;21;35;40;342;100;500;BTT;BTT(0.8)[E_1(R_1)];458;E_1(R_1);118941;650;0.278306;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-10.task;5000;21;35;40;342;50;500;TP;TP[E_1(R_1)];433;E_1(R_1);117018;500;0.317426;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-10.task;5000;21;35;40;342;50;500;TTP;TTP(0.8 : 0.8)[E_1(R_1)];462;E_1(R_1);112513;500;0.635001;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-10.task;5000;21;35;40;342;50;500;BTT;BTT(0.8)[E_1(R_1)];444;E_1(R_1);117065;650;0.291768;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-500.task;5000;21;35;40;342;1;500;TP;TP[E_1(R_1)];393;E_1(R_1);112429;500;0.316870;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-500.task;5000;21;35;40;342;1;500;TTP;TTP(0.8 : 0.8)[E_1(R_1)];355;E_1(R_1);105506;500;0.545890;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-500.task;5000;21;35;40;342;1;500;BTT;BTT(0.8)[E_1(R_1)];410;E_1(R_1);114284;642;0.313986;
