mapFilename;taskFilename;step_size;row_size;col_size;num_bots;num_endpoints;last_step;num_tasks;token_id;token_name;current_step;energy system id;energy expenditure;finished_tasks;time(s);
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;TP;TP;2541;ES_1(R_1);99402;500;0.119510;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;TTP;TTP(1:1);2550;ES_1(R_1);99618;500;0.113630;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;TTP;TTP(0.8:0.8);2539;ES_1(R_1);99718;500;0.123444;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;TTP;TTP(0.5:0.5);2539;ES_1(R_1);99718;500;0.123900;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;TTP;TTP(0.3:0.3);2539;ES_1(R_1);99718;500;0.126997;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;TTP;TTP(0.8:0.3);2539;ES_1(R_1);99718;500;0.123749;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;TTP;TTP(0.3:0.8);2539;ES_1(R_1);99718;500;0.123375;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;TTP;TTP(0:0);2541;ES_1(R_1);99402;500;0.123575;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;BTT;BTT(1:1);2549;ES_1(R_1);100348;672;0.132660;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;BTT;BTT(0.8:0.8);2548;ES_1(R_1);99910;508;0.143466;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;BTT;BTT(0.5:0.5);2541;ES_1(R_1);99402;500;0.126182;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;BTT;BTT(0.3:0.3);2541;ES_1(R_1);99402;500;0.125808;
