;;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time
Token;;BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1)
F;Ag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.2;10;99402.0;99910.0;99402.0;99402.0;99910.0;99402.0;100348.0;99402.0;99718.0;99718.0;99718.0;99718.0;99718.0;99402.0;99618.0;2541.0;2548.0;2541.0;2541.0;2548.0;2541.0;2549.0;2541.0;2539.0;2539.0;2539.0;2539.0;2539.0;2541.0;2550.0;500.0;508.0;500.0;500.0;508.0;500.0;672.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.126;0.142;0.126;0.125;0.143;0.126;0.133;0.12;0.127;0.123;0.124;0.124;0.123;0.124;0.114
0.2;20;125142.0;125538.0;125744.0;125142.0;125538.0;125142.0;125084.0;125142.0;125594.0;125594.0;125594.0;125594.0;125594.0;125142.0;125594.0;2533.0;2530.0;2541.0;2533.0;2530.0;2533.0;2531.0;2533.0;2550.0;2550.0;2550.0;2550.0;2550.0;2533.0;2550.0;500.0;510.0;508.0;500.0;510.0;500.0;654.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.1;0.114;0.13;0.114;0.111;0.113;0.106;0.108;0.153;0.132;0.13;0.121;0.1;0.16;0.102
0.2;30;150480.0;150486.0;151592.0;150480.0;150486.0;150480.0;152200.0;150480.0;150480.0;150480.0;150480.0;150480.0;150480.0;150480.0;150480.0;2530.0;2530.0;2550.0;2530.0;2530.0;2530.0;2530.0;2530.0;2530.0;2530.0;2530.0;2530.0;2530.0;2530.0;2530.0;500.0;524.0;504.0;500.0;524.0;500.0;716.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.188;0.192;0.179;0.186;0.192;0.187;0.196;0.18;0.18;0.181;0.181;0.181;0.181;0.18;0.181
0.2;40;176098.0;176368.0;176098.0;176098.0;176368.0;176098.0;176856.0;176098.0;176444.0;176444.0;176444.0;176170.0;176170.0;176098.0;176170.0;2535.0;2532.0;2535.0;2535.0;2532.0;2535.0;2538.0;2535.0;2540.0;2540.0;2540.0;2531.0;2531.0;2535.0;2531.0;500.0;522.0;500.0;500.0;522.0;500.0;698.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.157;0.138;0.133;0.117;0.134;0.134;0.141;0.196;0.127;0.124;0.142;0.124;0.134;0.139;0.161
0.2;50;201916.0;202794.0;201884.0;201916.0;202794.0;201916.0;203488.0;201916.0;202376.0;201938.0;202376.0;201938.0;201938.0;201916.0;201916.0;2530.0;2541.0;2530.0;2530.0;2541.0;2530.0;2530.0;2530.0;2541.0;2533.0;2541.0;2533.0;2533.0;2530.0;2530.0;500.0;522.0;504.0;500.0;522.0;500.0;692.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.226;0.225;0.229;0.227;0.223;0.226;0.264;0.136;0.217;0.206;0.215;0.206;0.123;0.218;0.15
0.5;10;74376.0;74890.0;74262.0;74376.0;74890.0;74376.0;75546.0;74376.0;73898.0;73662.0;73728.0;73116.0;73226.0;74376.0;73344.0;1286.0;1291.0;1276.0;1286.0;1291.0;1286.0;1350.0;1286.0;1252.0;1277.0;1266.0;1236.0;1240.0;1286.0;1280.0;500.0;528.0;504.0;500.0;528.0;500.0;666.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.085;0.09;0.093;0.073;0.096;0.068;0.082;0.091;0.068;0.074;0.1;0.084;0.111;0.062;0.166
0.5;20;96584.0;96342.0;95852.0;96584.0;96342.0;96020.0;96728.0;96020.0;97124.0;97484.0;97476.0;98150.0;96880.0;96020.0;97558.0;1075.0;1076.0;1055.0;1075.0;1076.0;1066.0;1085.0;1066.0;1076.0;1083.0;1096.0;1094.0;1081.0;1066.0;1091.0;508.0;558.0;508.0;508.0;558.0;500.0;796.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.178;0.195;0.228;0.175;0.198;0.191;0.259;0.111;0.206;0.222;0.323;0.292;0.249;0.184;0.336
0.5;30;108220.0;110480.0;108548.0;108220.0;110480.0;108414.0;113730.0;108414.0;110298.0;110298.0;110298.0;110180.0;111186.0;108414.0;109970.0;1067.0;1085.0;1074.0;1067.0;1085.0;1062.0;1097.0;1062.0;1102.0;1102.0;1102.0;1082.0;1101.0;1062.0;1102.0;502.0;558.0;504.0;502.0;558.0;500.0;874.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.159;0.193;0.234;0.176;0.25;0.137;0.262;0.216;0.16;0.213;0.146;0.262;0.23;0.146;0.254
