;;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time
Token;;BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1)
Frenq.;Agentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.2;10;99402.0;99910.0;99402.0;99402.0;99910.0;99402.0;100348.0;97764.0;97586.0;97824.0;98066.0;97822.0;90943.0;90929.0;90709.0;94100.0;91026.0;99402.0;99718.0;99718.0;99718.0;99718.0;99718.0;99402.0;99618.0;2541.0;2548.0;2541.0;2541.0;2548.0;2541.0;2549.0;2543.5;2538.0;2541.0;2560.0;2538.0;2541.0;2531.0;2529.5;2549.0;2536.0;2541.0;2539.0;2539.0;2539.0;2539.0;2539.0;2541.0;2550.0;0.126;0.142;0.126;0.125;0.143;0.126;0.133;5.419;7.205;5.386;0.109;10.413;3.484;4.039;5.629;0.068;7.214;0.12;0.127;0.123;0.124;0.124;0.123;0.124;0.114
0.2;20;125142.0;125538.0;125744.0;125142.0;125538.0;125142.0;125084.0;130352.0;130712.0;130678.0;124204.0;130024.0;115015.0;114824.0;114898.0;119638.0;114737.0;125142.0;125594.0;125594.0;125594.0;125594.0;125594.0;125142.0;125594.0;2533.0;2530.0;2541.0;2533.0;2530.0;2533.0;2531.0;2537.5;2530.5;2533.0;2540.0;2534.0;2525.5;2525.0;2524.0;2576.0;2524.5;2533.0;2550.0;2550.0;2550.0;2550.0;2550.0;2533.0;2550.0;0.1;0.114;0.13;0.114;0.111;0.113;0.106;6.255;8.992;6.341;0.157;7.741;5.183;5.763;5.892;0.076;7.313;0.108;0.153;0.132;0.13;0.121;0.1;0.16;0.102
0.2;30;150480.0;150486.0;151592.0;150480.0;150486.0;150480.0;152200.0;160504.0;160515.0;160515.0;148820.0;160746.0;140075.0;140137.0;140059.0;145104.0;140147.0;150480.0;150480.0;150480.0;150480.0;150480.0;150480.0;150480.0;150480.0;2530.0;2530.0;2550.0;2530.0;2530.0;2530.0;2530.0;2537.5;2536.0;2539.5;2538.0;2536.5;2525.5;2524.5;2521.5;2555.0;2526.5;2530.0;2530.0;2530.0;2530.0;2530.0;2530.0;2530.0;2530.0;0.188;0.192;0.179;0.186;0.192;0.187;0.196;7.454;10.943;8.976;0.163;9.699;7.497;9.755;6.979;0.091;5.542;0.18;0.18;0.181;0.181;0.181;0.181;0.18;0.181
0.2;40;176098.0;176368.0;176098.0;176098.0;176368.0;176098.0;176856.0;188070.0;186422.0;188051.0;176578.0;187457.0;165321.0;165374.0;165560.0;171390.0;165651.0;176098.0;176444.0;176444.0;176444.0;176170.0;176170.0;176098.0;176170.0;2535.0;2532.0;2535.0;2535.0;2532.0;2535.0;2538.0;2532.5;2535.0;2536.0;2552.0;2529.0;2525.0;2518.0;2525.0;2563.0;2526.0;2535.0;2540.0;2540.0;2540.0;2531.0;2531.0;2535.0;2531.0;0.157;0.138;0.133;0.117;0.134;0.134;0.141;8.491;19.135;8.416;0.153;10.35;5.451;18.228;4.925;0.094;11.722;0.196;0.127;0.124;0.142;0.124;0.134;0.139;0.161
0.2;50;201916.0;202794.0;201884.0;201916.0;202794.0;201916.0;203488.0;216532.0;215495.0;216384.0;201634.0;215646.0;191042.0;190905.0;191171.0;198856.0;191036.0;201916.0;202376.0;201938.0;202376.0;201938.0;201938.0;201916.0;201916.0;2530.0;2541.0;2530.0;2530.0;2541.0;2530.0;2530.0;2534.5;2537.5;2534.0;2556.0;2535.5;2525.0;2522.5;2526.5;2594.0;2525.0;2530.0;2541.0;2533.0;2541.0;2533.0;2533.0;2530.0;2530.0;0.226;0.225;0.229;0.227;0.223;0.226;0.264;13.697;20.532;11.183;0.15;14.157;7.335;19.497;7.025;0.106;9.964;0.136;0.217;0.206;0.215;0.206;0.123;0.218;0.15
0.5;10;74376.0;74890.0;74262.0;74376.0;74890.0;74376.0;75546.0;75020.0;74882.0;75156.0;74818.0;75010.0;75222.0;75287.0;74987.0;74738.0;75448.0;74376.0;73898.0;73662.0;73728.0;73116.0;73226.0;74376.0;73344.0;1286.0;1291.0;1276.0;1286.0;1291.0;1286.0;1350.0;1317.0;1309.0;1317.5;1319.0;1316.5;1328.0;1330.5;1315.5;1319.0;1336.5;1286.0;1252.0;1277.0;1266.0;1236.0;1240.0;1286.0;1280.0;0.085;0.09;0.093;0.073;0.096;0.068;0.082;32.658;53.587;23.479;0.231;28.323;38.489;66.207;30.381;0.278;44.892;0.091;0.068;0.074;0.1;0.084;0.111;0.062;0.166
0.5;20;96584.0;96342.0;95852.0;96584.0;96342.0;96020.0;96728.0;96985.0;97166.0;97070.0;93720.0;97203.0;89294.0;89204.0;89189.0;88396.0;89541.0;96020.0;97124.0;97484.0;97476.0;98150.0;96880.0;96020.0;97558.0;1075.0;1076.0;1055.0;1075.0;1076.0;1066.0;1085.0;1067.0;1066.5;1065.0;1083.0;1066.5;1063.5;1061.5;1059.5;1073.0;1063.0;1066.0;1076.0;1083.0;1096.0;1094.0;1081.0;1066.0;1091.0;0.178;0.195;0.228;0.175;0.198;0.191;0.259;18.012;47.043;17.433;0.21;33.064;13.033;18.127;12.548;0.088;14.127;0.111;0.206;0.222;0.323;0.292;0.249;0.184;0.336
0.5;30;108220.0;110480.0;108548.0;108220.0;110480.0;108414.0;113730.0;116846.0;116587.0;116486.0;104402.0;115848.0;98846.0;98927.0;99018.0;99956.0;98952.0;108414.0;110298.0;110298.0;110298.0;110180.0;111186.0;108414.0;109970.0;1067.0;1085.0;1074.0;1067.0;1085.0;1062.0;1097.0;1065.0;1066.5;1064.5;1066.0;1064.0;1053.0;1048.0;1049.0;1093.0;1045.0;1062.0;1102.0;1102.0;1102.0;1082.0;1101.0;1062.0;1102.0;0.159;0.193;0.234;0.176;0.25;0.137;0.262;22.118;40.228;27.656;0.198;21.943;8.989;9.826;10.092;0.08;11.757;0.216;0.16;0.213;0.146;0.262;0.23;0.146;0.254
