;;current_step;current_step;current_step;current_step;current_step;current_step;current_step;energy expenditure;energy expenditure;energy expenditure;energy expenditure;energy expenditure;energy expenditure;energy expenditure
token_name;;BTT(0.8)[E_1(R_1)];GAT(GA_CHECK);GAT(GA_COUNT);GAT_P(GA_CHECK);GAT_P(GA_COUNT);TP[E_1(R_1)];TTP(0.8 : 0.8)[E_1(R_1)];BTT(0.8)[E_1(R_1)];GAT(GA_CHECK);GAT(GA_COUNT);GAT_P(GA_CHECK);GAT_P(GA_COUNT);TP[E_1(R_1)];TTP(0.8 : 0.8)[E_1(R_1)]
mapFilename;taskFilename;;;;;;;;;;;;;;
KIVA-10-500-5.MAP;KIVA-0.2.TASK;2532.0;2535.0;2537.5;2521.5;2517.5;2558.0;2548.0;0.49;0.494;0.493;0.445;0.444;0.493;0.494
KIVA-10-500-5.MAP;KIVA-0.5.TASK;1287.0;1328.5;1352.5;1328.0;1328.0;1286.0;1240.0;0.389;0.388;0.39;0.387;0.388;0.388;0.379
KIVA-10-500-5.MAP;KIVA-1.TASK;1214.0;1254.5;1233.5;1247.0;1223.0;1214.0;1158.0;0.378;0.377;0.375;0.376;0.375;0.381;0.37
KIVA-10-500-5.MAP;KIVA-10.TASK;1164.0;1209.0;1205.5;1223.5;1196.5;1163.0;1135.0;0.373;0.37;0.37;0.373;0.372;0.374;0.368
KIVA-10-500-5.MAP;KIVA-2.TASK;1189.0;1176.0;1228.0;1235.5;1220.5;1200.0;1161.0;0.377;0.371;0.373;0.374;0.373;0.377;0.371
KIVA-10-500-5.MAP;KIVA-5.TASK;1167.0;1169.5;1215.5;1197.0;1201.0;1151.0;1144.0;0.374;0.369;0.37;0.372;0.372;0.372;0.369
KIVA-10-500-5.MAP;KIVA-500.TASK;1161.0;1133.0;1133.0;1133.0;1133.0;1148.0;1122.0;0.371;0.367;0.367;0.367;0.367;0.372;0.366
KIVA-20-500-5.MAP;KIVA-0.2.TASK;2537.0;2531.5;2543.0;2531.0;2518.0;2551.0;2541.0;0.59;0.638;0.647;0.538;0.536;0.589;0.588
KIVA-20-500-5.MAP;KIVA-0.5.TASK;1068.0;1093.5;1088.0;1050.0;1067.5;1091.0;1069.0;0.479;0.484;0.483;0.446;0.446;0.478;0.478
KIVA-20-500-5.MAP;KIVA-1.TASK;724.0;736.5;749.5;770.5;733.0;741.0;673.0;0.408;0.405;0.404;0.406;0.403;0.406;0.39
KIVA-20-500-5.MAP;KIVA-10.TASK;689.0;644.5;654.5;668.5;695.5;647.0;609.0;0.397;0.382;0.384;0.387;0.39;0.39;0.378
KIVA-20-500-5.MAP;KIVA-2.TASK;686.0;664.0;690.0;697.0;690.0;659.0;677.0;0.397;0.389;0.39;0.392;0.391;0.397;0.385
KIVA-20-500-5.MAP;KIVA-5.TASK;695.0;651.5;659.0;706.0;673.0;646.0;611.0;0.4;0.384;0.386;0.392;0.387;0.394;0.379
KIVA-20-500-5.MAP;KIVA-500.TASK;609.0;638.0;638.0;638.0;638.0;622.0;603.0;0.383;0.38;0.38;0.38;0.38;0.386;0.375
KIVA-30-500-5.MAP;KIVA-0.2.TASK;2537.0;2530.5;2532.5;2529.0;2517.0;2542.0;2543.0;0.685;0.763;0.761;0.629;0.628;0.685;0.682
KIVA-30-500-5.MAP;KIVA-0.5.TASK;1107.0;1067.0;1060.0;1047.0;1038.0;1092.0;1071.0;0.539;0.596;0.594;0.478;0.476;0.535;0.538
KIVA-30-500-5.MAP;KIVA-1.TASK;610.0;619.5;607.0;623.0;607.5;599.0;612.0;0.45;0.449;0.446;0.442;0.439;0.449;0.436
KIVA-30-500-5.MAP;KIVA-10.TASK;499.0;477.0;483.5;502.0;491.5;491.0;442.0;0.413;0.397;0.397;0.404;0.403;0.415;0.391
KIVA-30-500-5.MAP;KIVA-2.TASK;563.0;519.5;517.5;531.0;516.0;538.0;464.0;0.43;0.409;0.408;0.412;0.409;0.424;0.398
KIVA-30-500-5.MAP;KIVA-5.TASK;527.0;486.5;498.0;516.0;503.0;481.0;441.0;0.417;0.401;0.399;0.407;0.406;0.413;0.392
KIVA-30-500-5.MAP;KIVA-500.TASK;461.0;450.0;450.0;450.0;450.0;461.0;442.0;0.403;0.39;0.39;0.39;0.39;0.402;0.385
KIVA-40-500-5.MAP;KIVA-0.2.TASK;2539.0;2525.5;2536.0;2524.5;2522.0;2544.0;2544.0;0.781;0.878;0.884;0.728;0.726;0.783;0.781
KIVA-40-500-5.MAP;KIVA-0.5.TASK;1088.0;1061.5;1059.5;1038.5;1048.5;1069.0;1089.0;0.58;0.679;0.684;0.519;0.519;0.576;0.578
KIVA-40-500-5.MAP;KIVA-1.TASK;646.0;621.5;579.0;590.5;587.5;635.0;593.0;0.514;0.512;0.501;0.473;0.473;0.506;0.498
KIVA-40-500-5.MAP;KIVA-10.TASK;444.0;393.0;404.5;415.0;411.0;433.0;462.0;0.439;0.411;0.414;0.418;0.417;0.439;0.422
KIVA-40-500-5.MAP;KIVA-2.TASK;538.0;433.5;435.0;443.0;437.0;436.0;423.0;0.467;0.431;0.435;0.431;0.429;0.447;0.421
KIVA-40-500-5.MAP;KIVA-5.TASK;458.0;405.5;390.0;425.0;416.5;461.0;381.0;0.446;0.415;0.416;0.419;0.42;0.446;0.408
KIVA-40-500-5.MAP;KIVA-500.TASK;410.0;379.0;379.0;379.0;379.0;393.0;355.0;0.429;0.401;0.401;0.401;0.401;0.422;0.396
KIVA-50-500-5.MAP;KIVA-0.2.TASK;2533.0;2542.0;2533.0;2519.5;2522.0;2555.0;2537.0;0.877;0.981;0.993;0.822;0.823;0.881;0.88
KIVA-50-500-5.MAP;KIVA-0.5.TASK;1077.0;1060.5;1069.0;1049.0;1040.5;1088.0;1097.0;0.627;0.77;0.772;0.558;0.558;0.623;0.626
KIVA-50-500-5.MAP;KIVA-1.TASK;666.0;568.5;571.0;581.0;585.5;614.0;622.0;0.563;0.558;0.562;0.493;0.497;0.545;0.552
KIVA-50-500-5.MAP;KIVA-10.TASK;461.0;353.0;333.5;365.5;373.0;384.0;352.0;0.475;0.427;0.423;0.433;0.436;0.458;0.428
KIVA-50-500-5.MAP;KIVA-2.TASK;464.0;396.5;382.0;385.5;394.5;415.0;369.0;0.487;0.459;0.454;0.454;0.454;0.468;0.441
KIVA-50-500-5.MAP;KIVA-5.TASK;462.0;385.0;342.5;374.5;365.0;411.0;351.0;0.48;0.447;0.427;0.439;0.44;0.467;0.433
KIVA-50-500-5.MAP;KIVA-500.TASK;382.0;290.0;290.0;290.0;290.0;318.0;298.0;0.452;0.409;0.409;0.409;0.409;0.432;0.407
