;;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time
Token;;BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1)
Frenq.;Agentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.2;10;0.98123602;0.985091969;0.98123602;0.98123602;0.985091969;0.98123602;0.987441861;0.982493086;0.98252095;0.986660969;0.978336651;0.983622049;0.97126383;0.969098798;0.969847858;0.956682325;0.971448689;0.98123602;0.982404573;0.982404573;0.982404573;0.982404573;0.982404573;0.98123602;0.983192681;500.0;508.0;500.0;500.0;508.0;500.0;672.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.074707;0.083107;0.075967;0.074657;0.083418;0.074596;0.078245;7.3749885;21.653295;14.261075;0.166024;9.7077695;5.784215;24.153667;6.4836405;0.079322;8.217223;0.076399;0.073495;0.073846;0.074219;0.073542;0.083605;0.072777;0.124939
0.2;20;0.9399921;0.940828526;0.943701642;0.9399921;0.940828526;0.9399921;0.939396108;0.975170492;0.970071683;0.977525638;0.937990282;0.980586165;0.9296175;0.927809622;0.928318435;0.928619538;0.93180283;0.9399921;0.944911141;0.944911141;0.944911141;0.944911141;0.944911141;0.9399921;0.944911141;500.0;510.0;508.0;500.0;510.0;500.0;654.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.163283;0.151177;0.167219;0.165406;0.147249;0.16296;0.160946;11.5335495;72.400855;14.08971;0.162292;16.9181285;11.3131455;86.92211;13.904397;0.09451;17.8226415;0.159454;0.145621;0.14406;0.148185;0.14499;0.147819;0.15459;0.146547
0.2;30;0.926884777;0.926902139;0.933987485;0.926884777;0.926902139;0.926884777;0.931861802;0.966677074;0.961202599;0.96963561;0.923635371;0.975532428;0.918246073;0.916907707;0.918422456;0.916184936;0.920296766;0.926884777;0.926884777;0.926884777;0.926884777;0.926884777;0.926884777;0.926884777;0.926884777;500.0;524.0;504.0;500.0;524.0;500.0;716.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.183539;0.187282;0.17836;0.18405;0.189829;0.182671;0.193521;23.685472;122.762422;20.8453155;0.172068;26.5997845;17.6808915;190.236364;23.696361;0.105726;28.7763955;0.178145;0.178558;0.17739;0.178295;0.177107;0.177959;0.178231;0.179624
0.2;40;0.924307173;0.924392294;0.924307173;0.924307173;0.924392294;0.924307173;0.926755469;0.961950232;0.957085413;0.968266056;0.928778293;0.976649327;0.913920399;0.916453356;0.917411948;0.918120573;0.91691067;0.924307173;0.926126978;0.926126978;0.926126978;0.926126978;0.926126978;0.924307173;0.926126978;500.0;522.0;500.0;500.0;522.0;500.0;698.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.201539;0.203478;0.198936;0.20007;0.204469;0.199695;0.225306;21.710196;272.263377;30.119702;0.22554;42.0581195;23.7516795;335.595849;35.6977685;0.119165;43.3170085;0.192984;0.191906;0.191871;0.191333;0.193653;0.192551;0.191678;0.19313
0.2;50;0.924541247;0.928561217;0.92447201;0.924541247;0.928561217;0.924541247;0.927942519;0.963620403;0.953692601;0.968349493;0.92894266;0.974500855;0.917921275;0.915861339;0.918292436;0.93025661;0.919393124;0.924541247;0.927656807;0.925167105;0.927656807;0.925167105;0.925167105;0.924541247;0.925167105;500.0;522.0;504.0;500.0;522.0;500.0;692.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.223753;0.222996;0.225238;0.223781;0.222546;0.22403;0.261822;26.119216;394.708684;40.8303135;0.1878205;51.845935;31.6882095;517.0158005;50.4623665;0.140041;60.2665825;0.219658;0.214823;0.204972;0.214506;0.203943;0.204475;0.215941;0.20398
0.5;10;0.883951621;0.888783415;0.879959133;0.883951621;0.888783415;0.883951621;0.912236094;0.90137154;0.897519086;0.913056786;0.8975351;0.898882189;0.921588444;0.922729107;0.951974975;0.897038723;0.927353472;0.883951621;0.869816258;0.876564825;0.873360669;0.859707936;0.861704514;0.883951621;0.875571404;500.0;528.0;504.0;500.0;528.0;500.0;666.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.058287;0.060642;0.064243;0.058934;0.096899;0.05897;0.099894;24.4063495;58.3009555;28.797678;0.2953765;30.6297875;21.6505155;91.80749;30.710607;0.338482;33.3677335;0.056722;0.090188;0.097425;0.084436;0.110488;0.105187;0.087852;0.152613
0.5;20;0.971010542;0.970247347;0.958292997;0.971010542;0.970247347;0.964109534;0.965968424;0.972450794;0.967754825;0.976970763;0.960244759;0.973143388;0.958582014;0.95854237;0.962549408;0.928987929;0.958430533;0.964109534;0.974174391;0.975047711;0.984450871;0.971532573;0.981809053;0.964109534;0.983747584;508.0;558.0;508.0;508.0;558.0;500.0;796.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.177549;0.19711;0.227498;0.175822;0.198315;0.188659;0.30561;22.517552;74.559315;36.479465;0.269005;28.298056;12.655887;98.5961075;16.310458;0.108644;20.170918;0.183521;0.208062;0.205849;0.268582;0.262502;0.278651;0.18511;0.337393
0.5;30;0.917840826;0.941234954;0.922325239;0.917840826;0.941234954;0.916361074;0.954346717;0.944424637;0.937301349;0.964122741;0.902025303;0.953617435;0.900600126;0.897400219;0.904348156;0.896340967;0.901444457;0.916361074;0.935448178;0.945021993;0.928107823;0.93995394;0.93995394;0.916361074;0.93995394;502.0;552.0;504.0;502.0;552.0;500.0;870.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.25581;0.24669;0.235559;0.25262;0.24475;0.217669;0.316401;26.2212135;175.9139855;32.993725;0.2549045;39.590872;17.4219985;213.112755;26.824386;0.102324;32.7791675;0.211359;0.239119;0.227576;0.225519;0.283385;0.288101;0.210068;0.280878
