;;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time
Token;;BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1)
Frenq.;Agentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.2;10;0.99371716;0.997621439;0.99371716;0.99371716;0.997621439;0.99371716;1.0;0.99371716;0.99489937;0.99489937;0.99489937;0.99489937;0.99489937;0.99371716;0.995695572;500.0;508.0;500.0;500.0;508.0;500.0;672.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.074707;0.083107;0.075967;0.074657;0.083418;0.074596;0.078245;0.076399;0.073495;0.073846;0.074219;0.073542;0.083605;0.072777;0.124939
0.2;20;0.994272914;0.995259307;0.998235294;0.994272914;0.995259307;0.994272914;0.99365013;0.994272914;0.99940355;0.99940355;0.99940355;0.99940355;0.99940355;0.994272914;0.99940355;500.0;510.0;508.0;500.0;510.0;500.0;654.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.163283;0.151177;0.167219;0.165406;0.147249;0.16296;0.160946;0.159454;0.145621;0.14406;0.148185;0.14499;0.147819;0.15459;0.146547
0.2;30;0.990427971;0.990447682;0.998002628;0.990427971;0.990447682;0.990427971;0.996078431;0.990427971;0.990427971;0.990427971;0.990427971;0.990427971;0.990427971;0.990427971;0.990427971;500.0;524.0;504.0;500.0;524.0;500.0;716.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.183539;0.187282;0.17836;0.18405;0.189829;0.182671;0.193521;0.178145;0.178558;0.17739;0.178295;0.177107;0.177959;0.178231;0.179624
0.2;40;0.996872762;0.997045543;0.996872762;0.996872762;0.997045543;0.996872762;0.999606299;0.996872762;0.998835211;0.998835211;0.998835211;0.998835211;0.998835211;0.996872762;0.998835211;500.0;522.0;500.0;500.0;522.0;500.0;698.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.201539;0.203478;0.198936;0.20007;0.204469;0.199695;0.225306;0.192984;0.191906;0.191871;0.191333;0.193653;0.192551;0.191678;0.19313
0.2;50;0.993972862;0.99829474;0.993894233;0.993972862;0.99829474;0.993972862;0.997835498;0.993972862;0.997267652;0.994617238;0.997267652;0.994617238;0.994617238;0.993972862;0.994617238;500.0;522.0;504.0;500.0;522.0;500.0;692.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.223753;0.222996;0.225238;0.223781;0.222546;0.22403;0.261822;0.219658;0.214823;0.204972;0.214506;0.203943;0.204475;0.215941;0.20398
0.5;10;0.96855267;0.973806423;0.964094459;0.96855267;0.973806423;0.96855267;1.0;0.96855267;0.952796442;0.960493739;0.956856485;0.941694861;0.943904376;0.96855267;0.959473963;500.0;528.0;504.0;500.0;528.0;500.0;666.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.058287;0.060642;0.064243;0.058934;0.096899;0.05897;0.099894;0.056722;0.090188;0.097425;0.084436;0.110488;0.105187;0.087852;0.152613
0.5;20;0.986150862;0.985371139;0.973249873;0.986150862;0.985371139;0.979145663;0.98102114;0.979145663;0.989370321;0.990269718;0.999795438;0.986687499;0.997112617;0.979145663;0.999084249;508.0;558.0;508.0;508.0;558.0;500.0;796.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.177549;0.19711;0.227498;0.175822;0.198315;0.188659;0.30561;0.183521;0.208062;0.205849;0.268582;0.262502;0.278651;0.18511;0.337393
0.5;30;0.960571617;0.985020596;0.965188626;0.960571617;0.985020596;0.959162806;0.999094203;0.959162806;0.97893341;0.988787932;0.971399121;0.983659088;0.983659088;0.959162806;0.983659088;502.0;552.0;504.0;502.0;552.0;500.0;870.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.25581;0.24669;0.235559;0.25262;0.24475;0.217669;0.316401;0.211359;0.239119;0.227576;0.225519;0.283385;0.288101;0.210068;0.280878
