;;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time
Token;;BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1)
F;Ag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.2;10;99402.0;99910.0;99402.0;99402.0;99910.0;99402.0;100348.0;99716.0;99402.0;100311.0;98066.0;99590.0;96850.0;96483.0;96499.0;94100.0;96922.0;99402.0;99718.0;99718.0;99718.0;99718.0;99718.0;99402.0;100114.0;2541.0;2548.0;2541.0;2541.0;2548.0;2541.0;2549.0;2543.0;2547.5;2544.5;2560.0;2545.0;2554.0;2553.0;2553.0;2549.0;2554.5;2541.0;2539.0;2539.0;2539.0;2539.0;2539.0;2541.0;2533.0;500.0;508.0;500.0;500.0;508.0;500.0;672.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.074707;0.083107;0.075967;0.074657;0.083418;0.074596;0.078245;7.3749885;21.653295;14.261075;0.166024;9.7077695;5.784215;24.153667;6.4836405;0.079322;8.217223;0.076399;0.073495;0.073846;0.074219;0.073542;0.083605;0.072777;0.124939
0.2;20;125142.0;125538.0;125744.0;125142.0;125538.0;125142.0;125084.0;134135.0;132979.0;134876.0;124204.0;135995.0;121328.0;120796.0;121169.0;119638.0;121541.0;125142.0;125594.0;125594.0;125594.0;125594.0;125594.0;125142.0;125594.0;2533.0;2530.0;2541.0;2533.0;2530.0;2533.0;2531.0;2546.0;2546.5;2545.0;2540.0;2546.0;2550.0;2547.0;2547.0;2576.0;2555.5;2533.0;2550.0;2550.0;2550.0;2550.0;2550.0;2533.0;2550.0;500.0;510.0;508.0;500.0;510.0;500.0;654.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.163283;0.151177;0.167219;0.165406;0.147249;0.16296;0.160946;11.5335495;72.400855;14.08971;0.162292;16.9181285;11.3131455;86.92211;13.904397;0.09451;17.8226415;0.159454;0.145621;0.14406;0.148185;0.14499;0.147819;0.15459;0.146547
0.2;30;150480.0;150486.0;151592.0;150480.0;150486.0;150480.0;152200.0;163009.0;161722.0;164222.0;148820.0;166755.0;146290.0;146083.0;146371.0;145104.0;147055.0;150480.0;150480.0;150480.0;150480.0;150480.0;150480.0;150480.0;150480.0;2530.0;2530.0;2550.0;2530.0;2530.0;2530.0;2530.0;2546.0;2537.5;2546.5;2538.0;2545.5;2547.5;2541.5;2545.5;2555.0;2547.5;2530.0;2530.0;2530.0;2530.0;2530.0;2530.0;2530.0;2530.0;500.0;524.0;504.0;500.0;524.0;500.0;716.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.183539;0.187282;0.17836;0.18405;0.189829;0.182671;0.193521;23.685472;122.762422;20.8453155;0.172068;26.5997845;17.6808915;190.236364;23.696361;0.105726;28.7763955;0.178145;0.178558;0.17739;0.178295;0.177107;0.177959;0.178231;0.179624
0.2;40;176098.0;176368.0;176098.0;176098.0;176368.0;176098.0;176856.0;190907.0;188686.0;193001.0;176578.0;196984.0;171854.0;171860.0;172218.0;171390.0;172510.0;176098.0;176444.0;176444.0;176444.0;176444.0;176444.0;176098.0;176444.0;2535.0;2532.0;2535.0;2535.0;2532.0;2535.0;2538.0;2540.0;2545.0;2544.0;2552.0;2544.5;2535.0;2546.0;2549.5;2563.0;2545.5;2535.0;2540.0;2540.0;2540.0;2540.0;2540.0;2535.0;2540.0;500.0;522.0;500.0;500.0;522.0;500.0;698.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.201539;0.203478;0.198936;0.20007;0.204469;0.199695;0.225306;21.710196;272.263377;30.119702;0.22554;42.0581195;23.7516795;335.595849;35.6977685;0.119165;43.3170085;0.192984;0.191906;0.191871;0.191333;0.193653;0.192551;0.191678;0.19313
0.2;50;201916.0;202794.0;201884.0;201916.0;202794.0;201916.0;203488.0;219182.0;214392.0;220491.0;201634.0;223542.0;197588.0;197029.0;197927.0;198856.0;198082.0;201916.0;202376.0;201938.0;202376.0;201938.0;201938.0;201916.0;201938.0;2530.0;2541.0;2530.0;2530.0;2541.0;2530.0;2530.0;2542.5;2545.0;2547.0;2556.0;2546.0;2543.5;2540.5;2543.5;2594.0;2547.0;2530.0;2541.0;2533.0;2541.0;2533.0;2533.0;2530.0;2533.0;500.0;522.0;504.0;500.0;522.0;500.0;692.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.223753;0.222996;0.225238;0.223781;0.222546;0.22403;0.261822;26.119216;394.708684;40.8303135;0.1878205;51.845935;31.6882095;517.0158005;50.4623665;0.140041;60.2665825;0.219658;0.214823;0.204972;0.214506;0.203943;0.204475;0.215941;0.20398
0.5;10;74376.0;74890.0;74262.0;74376.0;74890.0;74376.0;75546.0;75217.0;74981.0;75893.0;74818.0;75180.0;76230.0;76349.0;77925.0;74738.0;76530.0;74376.0;73898.0;73662.0;73728.0;73116.0;73226.0;74376.0;73396.0;1286.0;1291.0;1276.0;1286.0;1291.0;1286.0;1350.0;1320.5;1318.5;1343.0;1319.0;1321.5;1360.5;1368.0;1428.5;1319.0;1374.0;1286.0;1252.0;1277.0;1266.0;1236.0;1240.0;1286.0;1279.0;500.0;528.0;504.0;500.0;528.0;500.0;666.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.058287;0.060642;0.064243;0.058934;0.096899;0.05897;0.099894;24.4063495;58.3009555;28.797678;0.2953765;30.6297875;21.6505155;91.80749;30.710607;0.338482;33.3677335;0.056722;0.090188;0.097425;0.084436;0.110488;0.105187;0.087852;0.152613
0.5;20;96584.0;96342.0;95852.0;96584.0;96342.0;96020.0;95760.0;97732.0;97116.0;98429.0;93720.0;97873.0;94068.0;93829.0;94197.0;88396.0;94135.0;96020.0;97124.0;97658.0;97730.0;96868.0;97474.0;96020.0;97770.0;1075.0;1076.0;1055.0;1075.0;1076.0;1066.0;1073.0;1064.0;1063.0;1069.0;1083.0;1066.0;1075.0;1077.0;1080.0;1073.0;1075.5;1066.0;1076.0;1072.0;1092.0;1073.0;1089.0;1066.0;1090.0;508.0;558.0;508.0;508.0;558.0;500.0;796.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.177549;0.19711;0.227498;0.175822;0.198315;0.188659;0.30561;22.517552;74.559315;36.479465;0.269005;28.298056;12.655887;98.5961075;16.310458;0.108644;20.170918;0.183521;0.208062;0.205849;0.268582;0.262502;0.278651;0.18511;0.337393
0.5;30;108220.0;110888.0;108548.0;108220.0;110888.0;108414.0;113360.0;114989.0;112844.0;120087.0;104402.0;117822.0;103972.0;103536.0;104069.0;99956.0;104009.0;108414.0;110124.0;110818.0;109648.0;110682.0;110682.0;108414.0;110682.0;1067.0;1095.0;1074.0;1067.0;1095.0;1062.0;1102.0;1065.0;1072.0;1066.0;1066.0;1064.0;1066.0;1063.0;1073.5;1093.0;1067.0;1062.0;1089.0;1104.0;1077.0;1094.0;1094.0;1062.0;1094.0;502.0;552.0;504.0;502.0;552.0;500.0;870.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.25581;0.24669;0.235559;0.25262;0.24475;0.217669;0.316401;26.2212135;175.9139855;32.993725;0.2549045;39.590872;17.4219985;213.112755;26.824386;0.102324;32.7791675;0.211359;0.239119;0.227576;0.225519;0.283385;0.288101;0.210068;0.280878
